Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",603,2,22pF,C1653
C3,603,1,1uF,C15849
"C4, C5, C6",603,3,0.1uF,C14663
C7,603,1,10uF,C19702
D1,D_SOD-123,1,SMF6.0CA,C123791
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D7, D8, D9",D_SOD-123,66,SOD-123,C81598
F1,1206,1,Polyfuse_Small,C70082
"K_#0_1, K_#1, K_#2, K_#3, K_#4, K_#5, K_#6, K_#7, K_#8, K_#9, K_,1, K_-1, K_.1, K_/1, K_:1, K_;1, K_=1, K_@1, K_A1, K_B1, K_BKSL1, K_BKSPC1, K_C1, K_D1, K_DOWN1, K_E1, K_ESC1, K_F1, K_G1, K_H1, K_HENK1, K_I1, K_J1, K_K1, K_L1, K_LALT1, K_LCTRL1, K_LEFT1, K_M1, K_N1, K_NHENK1, K_O1, K_P1, K_Q1, K_R1, K_RIGHT1, K_RSFT1, K_S1, K_T1, K_U1, K_UP1, K_V1, K_W1, K_WIN1, K_X1, K_Y1, K_YEN1, K_Z1, K_[1, K_]1",MXOnly-1U-Hotswap,60,MX-NoLED,C5184526
K_CAPS1,MXOnly-1.75U-Hotswap,1,MX-LED,C5184526
K_ENTER1,MXOnly-ISO-ROTATED-Hotswap,1,MX-NoLED,C5184526
K_LSFT1,MXOnly-2U-Hotswap,1,MX-NoLED,C5184526
"K_LSPACE1, K_RSPACE1",MXOnly-1.25U-Hotswap,2,MX-NoLED,C5184526
K_TAB1,MXOnly-1.5U-Hotswap,1,MX-NoLED,C5184526
L1,1206,1,60R@100MHz,C33600
"R1, R2",603,2,22,C23345
R3,603,1,10k,C25804
"R4, R5",603,2,5.1k,C23186
R6,603,1,1k,C21190
SW1,SW_SPST_TL3342,1,SW_Push,C318884
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-MU,C112161
U2,SOT143B,1,PRTR5V0U2X,C78442
USB1,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
